Id,Label,Modularity Class,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
30,Perpetue,2,2,3.0,5.0,3.1447368421052633,0.0,0.0051282053,0.0051282053,0.005407488155079125,0,1.0,1,0.0545731260374156
31,Simplice,2,4,8.0,4.0,2.3947368421052633,24.624840845429084,0.008547009,0.008547009,0.009073918462004641,0,0.6666666666666666,4,0.18823416532562146
32,Scaufflaire,2,1,1.0,4.0,2.539473684210526,0.0,0.0034188034,0.0034188034,0.0037293246909762294,0,0.0,0,0.08736417108874862
33,Woman1,2,2,3.0,4.0,2.526315789473684,0.0,0.0051282053,0.0051282053,0.00524445989575723,0,1.0,1,0.14487866538812616
34,Judge,3,6,14.0,4.0,2.473684210526316,0.0,0.011965812,0.011965812,0.012426393269024864,0,1.0,15,0.18012932101738532
35,Champmathieu,3,6,14.0,4.0,2.473684210526316,0.0,0.011965812,0.011965812,0.012426393269024864,0,1.0,15,0.18012932101738532
36,Brevet,3,6,11.0,4.0,2.473684210526316,0.0,0.011965812,0.011965812,0.012426393269024864,0,1.0,15,0.18012932101738532
37,Chenildieu,3,6,11.0,4.0,2.473684210526316,0.0,0.011965812,0.011965812,0.012426393269024864,0,1.0,15,0.18012932101738532
38,Cochepaille,3,6,11.0,4.0,2.473684210526316,0.0,0.011965812,0.011965812,0.012426393269024864,0,1.0,15,0.18012932101738532
39,Pontmercy,2,3,3.0,4.0,2.6842105263157894,19.7375,0.006837607,0.006837607,0.00736767261879638,0,0.3333333333333333,1,0.1299042165780355
40,Boulatruelle,4,1,1.0,4.0,2.9210526315789473,0.0,0.0034188034,0.0034188034,0.0034315519188090186,0,0.0,0,0.05719593261755996
41,Eponine,4,11,19.0,4.0,2.526315789473684,32.73951936436456,0.020512821,0.020512821,0.017792258985162405,0,0.45454545454545453,25,0.47754909177354526
42,Anzelma,4,3,5.0,4.0,2.8421052631578947,0.0,0.006837607,0.006837607,0.006313224649828983,0,1.0,3,0.13682236713537643
43,Woman2,2,3,5.0,4.0,2.486842105263158,0.0,0.006837607,0.006837607,0.00683711115488874,0,1.0,3,0.1816046162480234
44,MotherInnocent,2,2,4.0,4.0,2.513157894736842,0.0,0.0051282053,0.0051282053,0.006202567952438337,0,1.0,1,0.10173439965023601
45,Gribier,2,1,2.0,5.0,3.473684210526316,0.0,0.0034188034,0.0034188034,0.004421295207699791,0,0.0,0,0.014370228561487381
46,Jondrette,5,1,1.0,5.0,3.8947368421052633,0.0,0.0034188034,0.0034188034,0.005265074217681498,0,0.0,0,0.007685164445947366
47,MmeBurgon,5,2,3.0,4.0,2.9078947368421053,75.0,0.0051282053,0.0051282053,0.007804946954099526,0,0.0,0,0.08317100295143207
48,Gavroche,5,22,56.0,3.0,1.9473684210526316,470.57063191366586,0.03931624,0.03931624,0.03576200088413393,0,0.354978354978355,82,0.9959418749764184
49,Gillenormand,2,7,29.0,4.0,2.263157894736842,57.600271512113615,0.013675214,0.013675214,0.014957149319818747,0,0.47619047619047616,10,0.24207197686918017
50,Magnon,2,2,2.0,5.0,2.986842105263158,0.6190476190476191,0.0051282053,0.0051282053,0.005271093571392571,0,0.0,0,0.06156342639684764
51,MlleGillenormand,2,7,23.0,4.0,2.263157894736842,135.6569444444445,0.013675214,0.013675214,0.01625991816891763,0,0.42857142857142855,9,0.23481275890305936
52,MmePontmercy,2,2,2.0,5.0,3.1710526315789473,1.0,0.0051282053,0.0051282053,0.006009910990910792,0,0.0,0,0.03284459344820744
53,MlleVaubois,2,1,1.0,5.0,3.25,0.0,0.0034188034,0.0034188034,0.00392243913935876,0,0.0,0,0.021209021604697394
54,LtGillenormand,2,4,5.0,4.0,2.736842105263158,0.0,0.008547009,0.008547009,0.008713205785385491,0,1.0,6,0.1484283980520337
55,Marius,2,19,104.0,3.0,1.881578947368421,376.2925925725461,0.034188036,0.034188036,0.03089121332334565,0,0.3333333333333333,57,0.8289654718930218
56,BaronessT,2,2,2.0,4.0,2.8421052631578947,0.0,0.0051282053,0.0051282053,0.005146167333132905,0,1.0,1,0.09049342558743917
57,Mabeuf,5,11,16.0,4.0,2.526315789473684,78.8345238095238,0.020512821,0.020512821,0.017474555103457984,0,0.6909090909090909,38,0.5762557694358882
58,Enjolras,5,15,91.0,3.0,2.0789473684210527,121.27706694320474,0.027350428,0.027350428,0.021878131659675604,0,0.6095238095238096,64,0.8162588169870529
59,Combeferre,5,11,68.0,4.0,2.5526315789473686,3.5629148629148624,0.020512821,0.020512821,0.015888464240752798,0,0.9272727272727272,51,0.6131207361248003
60,Prouvaire,5,9,19.0,4.0,2.8026315789473686,0.0,0.017094018,0.017094018,0.013142795702647585,0,1.0,36,0.506296820735366
61,Feuilly,5,11,38.0,4.0,2.5526315789473686,3.5629148629148624,0.020512821,0.020512821,0.015888464240752798,0,0.9272727272727272,51,0.6131207361248003
62,Courfeyrac,5,13,84.0,4.0,2.5,15.01103516366674,0.023931624,0.023931624,0.018574245212842875,0,0.7564102564102564,59,0.6803721982859926
63,Bahorel,5,12,39.0,4.0,2.539473684210526,6.2286416799574695,0.022222223,0.022222223,0.017195853625993157,0,0.8636363636363636,57,0.6436060005440674
64,Bossuet,5,13,66.0,3.0,2.1052631578947367,87.6479030128798,0.023931624,0.023931624,0.018955750673615136,0,0.7692307692307693,60,0.7241400839567764
65,Joly,5,12,43.0,4.0,2.539473684210526,6.2286416799574695,0.022222223,0.022222223,0.017195853625993157,0,0.8636363636363636,57,0.6436060005440672
66,Grantaire,5,10,16.0,4.0,2.789473684210526,0.42857142857142855,0.01880342,0.01880342,0.014453220074795462,0,0.9333333333333333,42,0.5367820851546334
67,MotherPlutarch,5,1,3.0,5.0,3.513157894736842,0.0,0.0034188034,0.0034188034,0.0032982818341770487,0,0.0,0,0.046647528201617036
68,Gueulemer,4,10,25.0,3.0,2.1578947368421053,14.137094338410128,0.01880342,0.01880342,0.016691150641805822,0,0.8,36,0.5179939156546661
69,Babet,4,10,27.0,3.0,2.1578947368421053,14.137094338410128,0.01880342,0.01880342,0.016691150641805822,0,0.8,36,0.5179939156546661
70,Claquesous,4,10,20.0,4.0,2.210526315789474,13.85614195745775,0.01880342,0.01880342,0.01656030988939733,0,0.7111111111111111,32,0.503856234703112
71,Montparnasse,4,9,12.0,3.0,2.1842105263157894,11.040415140415138,0.017094018,0.017094018,0.015170302465099246,0,0.8333333333333334,30,0.4812690923169401
72,Toussaint,2,3,4.0,4.0,2.486842105263158,0.0,0.006837607,0.006837607,0.00683711115488874,0,1.0,3,0.1816046162480234
73,Child1,5,2,5.0,4.0,2.9210526315789473,0.0,0.0051282053,0.0051282053,0.005790662465644159,0,1.0,1,0.0896239218108394
74,Child2,5,2,5.0,4.0,2.9210526315789473,0.0,0.0051282053,0.0051282053,0.005790662465644159,0,1.0,1,0.0896239218108394
75,Brujon,4,7,13.0,4.0,2.6315789473684212,1.25,0.013675214,0.013675214,0.011865793201536162,0,0.9047619047619048,19,0.34760805302873393
76,MmeHucheloup,5,7,7.0,4.0,2.8289473684210527,0.0,0.013675214,0.013675214,0.010687467821017576,0,1.0,21,0.40771862915705165
